Country/Region,Confirmed,Deaths,Recovered,New cases,New deaths,New recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Afghanistan,36263,1269,25198,106,10,18,35526,737,2.07,Eastern Mediterranean
Albania,4880,144,2745,117,6,63,4171,709,17.0,Europe
Algeria,27973,1163,18837,616,8,749,23691,4282,18.07,Africa
Andorra,907,52,803,10,0,0,884,23,2.6,Europe
Angola,950,41,242,18,1,0,749,201,26.84,Africa
Antigua and Barbuda,86,3,65,4,0,5,76,10,13.16,Americas
Argentina,167416,3059,72575,4890,120,2057,130774,36642,28.02,Americas
Armenia,37390,711,26665,73,6,187,34981,2409,6.89,Europe
Australia,15303,167,9311,368,6,137,12428,2875,23.13,Western Pacific
Austria,20558,713,18246,86,1,37,19743,815,4.13,Europe
Azerbaijan,30446,423,23242,396,6,558,27890,2556,9.16,Europe
Bahamas,382,11,91,40,0,0,174,208,119.54,Americas
Bahrain,39482,141,36110,351,1,421,36936,2546,6.89,Eastern Mediterranean
Bangladesh,226225,2965,125683,2772,37,1801,207453,18772,9.05,South-East Asia
Barbados,110,7,94,0,0,0,106,4,3.77,Americas
Belarus,67251,538,60492,119,4,67,66213,1038,1.57,Europe
Belgium,66428,9822,17452,402,1,14,64094,2334,3.64,Europe
Belize,48,2,26,0,0,0,40,8,20.0,Americas
Benin,1770,35,1036,0,0,0,1602,168,10.49,Africa
Bhutan,99,0,86,4,0,1,90,9,10.0,South-East Asia
Bolivia,71181,2647,21478,1752,64,309,60991,10190,16.71,Americas
Bosnia and Herzegovina,10498,294,4930,731,14,375,8479,2019,23.81,Europe
Botswana,739,2,63,53,1,11,522,217,41.57,Africa
Brazil,2442375,87618,1846641,23284,614,33728,2118646,323729,15.28,Americas
Brunei,141,3,138,0,0,0,141,0,0.0,Western Pacific
Bulgaria,10621,347,5585,194,7,230,8929,1692,18.95,Europe
Burkina Faso,1100,53,926,14,0,6,1065,35,3.29,Africa
Burma,350,6,292,0,0,2,341,9,2.64,South-East Asia
Burundi,378,1,301,17,0,22,322,56,17.39,Africa
Cabo Verde,2328,22,1550,21,0,103,2071,257,12.41,Africa
Cambodia,226,0,147,1,0,4,171,55,32.16,Western Pacific
Cameroon,17110,391,14539,402,6,0,16157,953,5.9,Africa
Canada,116458,8944,0,682,11,0,112925,3533,3.13,Americas
Central African Republic,4599,59,1546,0,0,0,4548,51,1.12,Africa
Chad,922,75,810,7,0,0,889,33,3.71,Africa
Chile,347923,9187,319954,2133,75,1859,333029,14894,4.47,Americas
China,86783,4656,78869,213,4,7,85622,1161,1.36,Western Pacific
Colombia,257101,8777,131161,16306,508,11494,204005,53096,26.03,Americas
Comoros,354,7,328,0,0,0,334,20,5.99,Africa
Congo (Brazzaville),3200,54,829,162,3,73,2851,349,12.24,Africa
Congo (Kinshasa),8844,208,5700,13,4,190,8443,401,4.75,Africa
Costa Rica,15841,115,3824,612,11,88,11534,4307,37.34,Americas
Cote d'Ivoire,15655,96,10361,59,0,183,14312,1343,9.38,Africa
Croatia,4881,139,3936,24,3,70,4370,511,11.69,Europe
Cuba,2532,87,2351,37,0,2,2446,86,3.52,Americas
Cyprus,1060,19,852,3,0,0,1038,22,2.12,Europe
Czechia,15516,373,11428,192,2,0,14098,1418,10.06,Europe
Denmark,13761,613,12605,109,0,77,13453,308,2.29,Europe
Djibouti,5059,58,4977,9,0,11,5020,39,0.78,Eastern Mediterranean
Dominica,18,0,18,0,0,0,18,0,0.0,Americas
Dominican Republic,64156,1083,30204,1248,20,1601,53956,10200,18.9,Americas
Ecuador,81161,5532,34896,467,17,0,74620,6541,8.77,Americas
Egypt,92482,4652,34838,420,46,1007,88402,4080,4.62,Eastern Mediterranean
El Salvador,15035,408,7778,405,8,130,12207,2828,23.17,Americas
Equatorial Guinea,3071,51,842,0,0,0,3071,0,0.0,Africa
Eritrea,265,0,191,2,0,2,251,14,5.58,Africa
Estonia,2034,69,1923,0,0,1,2021,13,0.64,Europe
Eswatini,2316,34,1025,109,2,39,1826,490,26.83,Africa
Ethiopia,14547,228,6386,579,5,170,10207,4340,42.52,Africa
Fiji,27,0,18,0,0,0,27,0,0.0,Western Pacific
Finland,7398,329,6920,5,0,0,7340,58,0.79,Europe
France,220352,30212,81212,2551,17,267,214023,6329,2.96,Europe
Gabon,7189,49,4682,205,0,219,6433,756,11.75,Africa
Gambia,326,8,66,49,2,6,112,214,191.07,Africa
Georgia,1137,16,922,6,0,2,1039,98,9.43,Europe
Germany,207112,9125,190314,445,1,259,203325,3787,1.86,Europe
Ghana,33624,168,29801,655,0,307,28430,5194,18.27,Africa
Greece,4227,202,1374,34,0,0,4012,215,5.36,Europe
Greenland,14,0,13,1,0,0,13,1,7.69,Europe
Grenada,23,0,23,0,0,0,23,0,0.0,Americas
Guatemala,45309,1761,32455,256,27,843,39039,6270,16.06,Americas
Guinea,7055,45,6257,47,2,105,6590,465,7.06,Africa
Guinea-Bissau,1954,26,803,0,0,0,1949,5,0.26,Africa
Guyana,389,20,181,19,0,0,337,52,15.43,Americas
Haiti,7340,158,4365,25,1,0,7053,287,4.07,Americas
Holy See,12,0,12,0,0,0,12,0,0.0,Europe
Honduras,39741,1166,5039,465,50,117,34611,5130,14.82,Americas
Hungary,4448,596,3329,13,0,0,4339,109,2.51,Europe
Iceland,1854,10,1823,7,0,0,1839,15,0.82,Europe
India,1480073,33408,951166,44457,637,33598,1155338,324735,28.11,South-East Asia
Indonesia,100303,4838,58173,1525,57,1518,88214,12089,13.7,South-East Asia
Iran,293606,15912,255144,2434,212,1931,276202,17404,6.3,Eastern Mediterranean
Iraq,112585,4458,77144,2553,96,1927,94693,17892,18.89,Eastern Mediterranean
Ireland,25892,1764,23364,11,0,0,25766,126,0.49,Europe
Israel,63985,474,27133,2029,4,108,52003,11982,23.04,Europe
Italy,246286,35112,198593,168,5,147,244624,1662,0.68,Europe
Jamaica,853,10,714,11,0,0,809,44,5.44,Americas
Japan,31142,998,21970,594,0,364,25706,5436,21.15,Western Pacific
